"V1";"V2";"V3";"V4";"V5";"V6"
0319001000000005001;2012-01-04;06:15:00  ;314;  30.60;   0.00;  30.36
0319001000000005001;2012-01-04;06:30:00  ;315;  39.48;   0.00;  40.20
0319001000000005001;2012-01-04;06:45:00  ;316;  35.64;   0.00;  36.00
0319001000000005001;2012-01-04;07:00:00  ;317;  36.60;   0.00;  37.44
0319001000000005001;2012-01-04;07:15:00  ;318;  34.44;   0.00;  34.80
0319001000000005001;2012-01-04;07:30:00  ;319;  32.40;   0.00;  32.04
0319001000000005001;2012-01-04;07:45:00  ;320;  32.40;   0.00;  33.12
0319001000000005001;2012-01-04;08:00:00  ;321;  35.52;   0.00;  35.88
0319001000000005001;2012-01-04;08:15:00  ;322;  40.44;   0.00;  41.04
0319001000000005001;2012-01-04;08:30:00  ;323;  36.00;   0.00;  36.24
0319001000000005001;2012-01-04;08:45:00  ;324;  33.36;   0.00;  34.20
0319001000000005001;2012-01-04;09:00:00  ;325;  38.40;   0.00;  37.92
0319001000000005001;2012-01-04;09:15:00  ;326;  43.80;   0.00;  43.44
0319001000000005001;2012-01-04;09:30:00  ;327;  34.80;   0.00;  35.16
0319001000000005001;2012-01-04;09:45:00  ;328;  37.20;   0.00;  37.32
0319001000000005001;2012-01-04;10:00:00  ;329;  43.68;   0.00;  42.72
0319001000000005001;2012-01-04;10:15:00  ;330;  43.80;   0.00;  43.80
0319001000000005001;2012-01-04;10:30:00  ;331;  42.96;   0.00;  43.44
0319001000000005001;2012-01-04;10:45:00  ;332;  41.40;   0.00;  40.80
0319001000000005001;2012-01-04;11:00:00  ;333;  39.72;   0.00;  39.60
0319001000000005001;2012-01-04;11:15:00  ;334;  41.52;   0.00;  41.16
0319001000000005001;2012-01-04;11:30:00  ;335;  41.88;   0.00;  41.52
0319001000000005001;2012-01-04;11:45:00  ;336;  33.48;   0.00;  33.24
0319001000000005001;2012-01-04;12:00:00  ;337;  40.80;   0.00;  41.04
0319001000000005001;2012-01-04;12:15:00  ;338;  42.00;   0.00;  41.40
0319001000000005001;2012-01-04;12:30:00  ;339;  35.16;   0.00;  34.68
0319001000000005001;2012-01-04;12:45:00  ;340;  36.24;   0.00;  37.68
0319001000000005001;2012-01-04;13:00:00  ;341;  41.40;   0.00;  40.80
0319001000000005001;2012-01-04;13:15:00  ;342;  40.44;   0.00;  40.56
0319001000000005001;2012-01-04;13:30:00  ;343;  41.40;   0.00;  41.40
0319001000000005001;2012-01-04;13:45:00  ;344;  40.44;   0.00;  40.32
0319001000000005001;2012-01-04;14:00:00  ;345;  42.12;   0.00;  42.24
0319001000000005001;2012-01-04;14:15:00  ;346;  44.40;   0.00;  44.64
0319001000000005001;2012-01-04;14:30:00  ;347;  44.40;   0.00;  43.92
